Timestamp,WeatherInfo
2023-12-26 13:55:00,EHAM 261355Z 27015KT 9999 -RA FEW014 SCT017 BKN032 09/06 Q1015 BECMG 30012KT
2023-12-26 13:25:00,EHAM 261325Z 27017KT 9999 FEW018 BKN037 09/06 Q1015 BECMG 30012KT TEMPO -SHRA
2023-12-26 12:55:00,EHAM 261255Z 27016KT 9999 FEW024 BKN037 09/05 Q1014 NOSIG
2023-12-26 12:25:00,EHAM 261225Z 27017KT 9999 FEW027 BKN040 09/05 Q1014 NOSIG
2023-12-26 11:55:00,EHAM 261155Z 27019KT 240V300 9999 FEW025 BKN038 09/05 Q1013 NOSIG
2023-12-26 11:25:00,EHAM 261125Z 27020KT 9999 FEW026 BKN038 10/05 Q1013 NOSIG
2023-12-26 10:55:00,EHAM 261055Z 27020KT 9999 FEW029 BKN039 09/05 Q1012 NOSIG
2023-12-26 10:25:00,EHAM 261025Z 26021G31KT 230V290 9999 FEW029 BKN038 10/05 Q1012 NOSIG
2023-12-26 09:55:00,EHAM 260955Z 26019KT 230V290 9999 FEW028 SCT038 09/05 Q1012 NOSIG
2023-12-26 09:25:00,EHAM 260925Z 26019KT 9999 FEW028 09/05 Q1011 NOSIG
2023-12-26 08:55:00,EHAM 260855Z 25018KT 9999 FEW025 09/05 Q1010 NOSIG
2023-12-26 08:25:00,EHAM 260825Z 25017KT 9999 FEW025 09/05 Q1010 NOSIG
2023-12-26 07:55:00,EHAM 260755Z 26016KT 9999 FEW010 09/05 Q1009 NOSIG
2023-12-26 07:25:00,EHAM 260725Z 25016KT CAVOK 09/05 Q1009 NOSIG
2023-12-26 06:55:00,EHAM 260655Z 25017KT 9999 FEW027 09/05 Q1008 NOSIG
2023-12-26 06:25:00,EHAM 260625Z 26018KT 9999 FEW027 09/05 Q1008 NOSIG
2023-12-26 05:55:00,EHAM 260555Z 26016KT 9999 FEW027 SCT032 09/05 Q1008 NOSIG
2023-12-26 05:25:00,EHAM 260525Z 26018KT 9999 FEW030 09/05 Q1007 NOSIG
2023-12-26 04:55:00,EHAM 260455Z 26018KT 9999 FEW025 09/06 Q1007 NOSIG
2023-12-26 04:25:00,EHAM 260425Z 27018KT 230V290 9999 FEW023 09/07 Q1006 NOSIG
2023-12-26 03:55:00,EHAM 260355Z 26014KT 230V290 9999 -RA FEW016 SCT030 10/08 Q1006 NOSIG
2023-12-26 03:25:00,EHAM 260325Z 28020KT 9999 FEW015 SCT027 10/07 Q1005 NOSIG
2023-12-26 02:55:00,EHAM 260255Z 26018KT 9999 FEW015 SCT023 11/09 Q1005 NOSIG
2023-12-26 02:25:00,EHAM 260225Z 26017G27KT 9999 FEW013 11/09 Q1004 NOSIG
2023-12-26 01:55:00,EHAM 260155Z 25020KT 9999 FEW009 SCT016 11/10 Q1004 NOSIG
2023-12-26 01:25:00,EHAM 260125Z 25023G33KT 9999 FEW008 SCT010 BKN018 11/10 Q1004 NOSIG
2023-12-26 00:55:00,EHAM 260055Z 25022G32KT 9000 -RADZ FEW008 SCT010 BKN021 11/10 Q1003 NOSIG
2023-12-26 00:25:00,EHAM 260025Z 24021G31KT 8000 -RADZ FEW008 SCT010 BKN021 11/10 Q1003 NOSIG
2023-12-25 23:55:00,EHAM 252355Z 24024G35KT 9000 -RADZ FEW006 BKN008 BKN011 11/10 Q1003 TEMPO 6000
2023-12-25 23:25:00,EHAM 252325Z 24024G34KT 210V280 9000 -RADZ FEW006 BKN007 BKN011 11/10 Q1003 RERADZ TEMPO 6000
2023-12-25 22:55:00,EHAM 252255Z 25024G34KT 210V280 8000 RADZ FEW005 BKN008 BKN012 11/11 Q1003 TEMPO 6000
