Timestamp,WeatherInfo
2023-12-28 14:25:00,EHAM 281425Z 21020KT 9999 FEW017 BKN021 11/08 Q1007 NOSIG
2023-12-28 13:55:00,EHAM 281355Z 22024KT 9999 FEW021 SCT026 11/07 Q1007 NOSIG
2023-12-28 13:25:00,EHAM 281325Z 22023KT 9999 FEW022 BKN026 BKN045 11/07 Q1007 NOSIG
2023-12-28 12:55:00,EHAM 281255Z 21023KT 9999 FEW022 BKN027 11/07 Q1008 NOSIG
2023-12-28 12:25:00,EHAM 281225Z 21019G32KT 180V240 9999 FEW018 BKN025 11/07 Q1008 NOSIG
2023-12-28 11:55:00,EHAM 281155Z 21023KT 9999 BKN023 11/07 Q1008 NOSIG
2023-12-28 11:25:00,EHAM 281125Z 22024KT 190V250 9999 FEW022 BKN025 11/08 Q1008 NOSIG
2023-12-28 10:55:00,EHAM 281055Z 22022KT 9999 FEW022 BKN025 11/07 Q1008 NOSIG
2023-12-28 10:25:00,EHAM 281025Z 21025KT 9999 FEW018 BKN021 BKN035 11/08 Q1008 NOSIG
2023-12-28 09:55:00,EHAM 280955Z 21024G34KT 9999 BKN023 11/07 Q1008 NOSIG
2023-12-28 09:25:00,EHAM 280925Z 21025KT 9999 FEW022 11/07 Q1008 NOSIG
2023-12-28 08:55:00,EHAM 280855Z 21022KT 9999 BKN024 11/07 Q1007 NOSIG
2023-12-28 08:25:00,EHAM 280825Z 22023KT 9999 SCT025 11/07 Q1007 NOSIG
2023-12-28 07:55:00,EHAM 280755Z 22022G32KT 9999 SCT025 11/07 Q1007 NOSIG
2023-12-28 07:25:00,EHAM 280725Z 22023G33KT 9999 FEW025 11/07 Q1007 NOSIG
2023-12-28 06:55:00,EHAM 280655Z 22025G36KT 190V250 9999 BKN025 11/07 Q1006 NOSIG
2023-12-28 06:25:00,EHAM 280625Z 22024G35KT 190V250 9999 BKN025 11/07 Q1006 NOSIG
2023-12-28 05:55:00,EHAM 280555Z 21024G35KT 9999 SCT027 SCT040 11/07 Q1006 NOSIG
2023-12-28 05:25:00,EHAM 280525Z 21024KT 9999 FEW022 BKN025 11/07 Q1006 NOSIG
2023-12-28 04:55:00,EHAM 280455Z 22024G34KT 9999 FEW022 BKN025 11/07 Q1006 NOSIG
2023-12-28 04:25:00,EHAM 280425Z 21024KT 180V240 9999 FEW020 BKN025 11/07 Q1006 NOSIG
2023-12-28 03:55:00,EHAM 280355Z 21023KT 9999 FEW020 BKN025 11/08 Q1006 NOSIG
2023-12-28 03:25:00,EHAM 280325Z 21024KT 9999 FEW020 SCT023 10/08 Q1006 NOSIG
2023-12-28 02:55:00,EHAM 280255Z 21021KT 9999 FEW020 BKN023 10/08 Q1006 NOSIG
2023-12-28 02:25:00,EHAM 280225Z 21021KT 9999 FEW016 BKN022 11/08 Q1006 NOSIG
2023-12-28 01:55:00,EHAM 280155Z 21020KT 180V240 9999 FEW016 BKN021 11/08 Q1006 NOSIG
2023-12-28 01:25:00,EHAM 280125Z 21019KT 190V250 9999 FEW016 SCT021 11/08 Q1006 NOSIG
