flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.generic.status.text,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed,isDelayed?
KL1181,KLM1181,False,departed,E75S,KLM,20231229,1540,1703860800,1703861457,20231229,1550,2023-12-29 15:40:00,EHAM 291525Z 28013KT 240V310 6000 SHRA SCT017CB SCT025 BKN032 08/06 Q1005 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,8.0 C,6.0 C,6000 meters,1005.0 mb,13 knots,0
KL1317,KLM31N,False,departed,E190,KLM,20231229,1540,1703860800,1703863264,20231229,1621,2023-12-29 15:40:00,EHAM 291525Z 28013KT 240V310 6000 SHRA SCT017CB SCT025 BKN032 08/06 Q1005 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,8.0 C,6.0 C,6000 meters,1005.0 mb,13 knots,1
KL1921,KLM45N,False,departed,E190,KLM,20231229,1545,1703861100,1703862243,20231229,1604,2023-12-29 15:45:00,EHAM 291525Z 28013KT 240V310 6000 SHRA SCT017CB SCT025 BKN032 08/06 Q1005 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,8.0 C,6.0 C,6000 meters,1005.0 mb,13 knots,1
KL1285,KLM1285,True,departed,B738,KLM,20231229,1550,1703861400,1703865728,20231229,1702,2023-12-29 15:50:00,EHAM 291525Z 28013KT 240V310 6000 SHRA SCT017CB SCT025 BKN032 08/06 Q1005 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,8.0 C,6.0 C,6000 meters,1005.0 mb,13 knots,1
KL895,KLM895,True,departed,B77W,KLM,20231229,1555,1703861700,1703862790,20231229,1613,2023-12-29 15:55:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
PC1254,PGT61BH,True,departed,A21N,Pegasus,20231229,1555,1703861700,1703862994,20231229,1616,2023-12-29 15:55:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL937,KLM937,True,departed,E190,KLM,20231229,1600,1703862000,1703864331,20231229,1638,2023-12-29 16:00:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
HV6871,TRA87M,True,departed,B738,Transavia,20231229,1605,1703862300,1703864089,20231229,1634,2023-12-29 16:05:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL1217,KLM65X,True,departed,E75S,KLM,20231229,1605,1703862300,1703864864,20231229,1647,2023-12-29 16:05:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
U22518,EZY96MT,False,departed,A319,easyJet,20231229,1605,1703862300,1703863771,20231229,1629,2023-12-29 16:05:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,1
KL1335,KLM1335,False,departed,B737,KLM,20231229,1610,1703862600,1703862689,20231229,1611,2023-12-29 16:10:00,EHAM 291555Z 28010KT 6000 SHRA SCT018CB SCT032 BKN038 07/06 Q1004 TEMPO 8000 -SHRA,Afternoon,12,Winter,Friday,7.0 C,6.0 C,6000 meters,1004.0 mb,10 knots,0
