,flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.text,flight.status.generic.status.text,flight.status.generic.status.color,flight.status.generic.eventTime.utc_date,flight.status.generic.eventTime.utc_time,flight.aircraft.model.code,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time
125,KL749,KLM749,False,Estimated dep 09:45,estimated,green,20231228,0945,B78X,20231228,0935,1703752500,None,,
126,U23852,None,False,Estimated dep 09:35,estimated,green,20231228,0935,A319,20231228,0935,1703752500,None,,
127,KL623,KLM623,False,Estimated dep 09:45,estimated,green,20231228,0945,A333,20231228,0935,1703752500,None,,
128,KL1253,None,False,Scheduled,scheduled,gray,,,E295,20231228,0935,1703752500,None,,
129,KL1895,None,False,Scheduled,scheduled,gray,,,E190,20231228,0935,1703752500,None,,
130,EI841,EIN84T,False,Estimated dep 09:54,estimated,green,20231228,0954,A320,20231228,0940,1703752800,None,,
131,HV5749,None,False,Scheduled,scheduled,gray,,,B738,20231228,0940,1703752800,None,,
132,KL1073,None,False,Scheduled,scheduled,gray,,,B738,20231228,0940,1703752800,None,,
133,KL1179,None,False,Scheduled,scheduled,gray,,,E190,20231228,0940,1703752800,None,,
134,KL1957,None,False,Scheduled,scheduled,gray,,,B739,20231228,0940,1703752800,None,,
135,KL1601,None,False,Scheduled,scheduled,gray,,,B738,20231228,0940,1703752800,None,,
136,KL1199,None,False,Scheduled,scheduled,gray,,,E190,20231228,0945,1703753100,None,,
137,KL1443,None,False,Scheduled,scheduled,gray,,,B737,20231228,0945,1703753100,None,,
138,KL1823,None,False,Scheduled,scheduled,gray,,,B738,20231228,0945,1703753100,None,,
139,KL1167,None,False,Scheduled,scheduled,gray,,,B738,20231228,0945,1703753100,None,,
140,KL1455,None,False,Scheduled,scheduled,gray,,,E295,20231228,0945,1703753100,None,,
141,KL1845,None,False,Scheduled,scheduled,gray,,,B738,20231228,0945,1703753100,None,,
142,KL601,KLM601,False,Estimated dep 10:00,estimated,green,20231228,1000,B78X,20231228,0950,1703753400,None,,
143,LX725,None,False,Scheduled,scheduled,gray,,,A320,20231228,0950,1703753400,None,,
144,KL1653,None,False,Scheduled,scheduled,gray,,,B738,20231228,0950,1703753400,None,,
145,KL1701,None,False,Scheduled,scheduled,gray,,,B738,20231228,0950,1703753400,None,,
146,KL1315,None,False,Scheduled,scheduled,gray,,,B739,20231228,0955,1703753700,None,,
147,KL1765,None,False,Scheduled,scheduled,gray,,,E190,20231228,0955,1703753700,None,,
148,U22162,EZY17CX,False,Estimated dep 09:55,estimated,green,20231228,0955,A20N,20231228,0955,1703753700,None,,
149,KL1127,None,False,Scheduled,scheduled,gray,,,E295,20231228,0955,1703753700,None,,
150,KL1533,None,False,Scheduled,scheduled,gray,,,E75S,20231228,0955,1703753700,None,,
151,KL1869,None,False,Scheduled,scheduled,gray,,,E190,20231228,0955,1703753700,None,,
